Iter,XOR,NonXOR,Cost
297,583179,123646,247293
298,583354,123678,247357
299,583527,123710,247421
300,583706,123742,247485
301,583881,123774,247549
302,584054,123806,247613
303,584222,123838,247677
304,584397,123870,247741
305,609978,129372,258745
306,611059,129596,259193
307,612128,129820,259641
308,613050,130012,260025
309,613237,130044,260089
310,613416,130076,260153
311,613596,130108,260217
312,613773,130140,260281
313,613950,130172,260345
314,614125,130204,260409
315,614298,130236,260473
316,614477,130268,260537
317,614652,130300,260601
318,614825,130332,260665
319,614993,130364,260729
320,615168,130396,260793
321,640749,135898,271797
322,641830,136122,272245
323,642899,136346,272693
324,643821,136538,273077
325,644008,136570,273141
326,644187,136602,273205
327,644367,136634,273269
328,644544,136666,273333
329,644721,136698,273397
330,644896,136730,273461
331,645069,136762,273525
332,645248,136794,273589
333,645423,136826,273653
334,645596,136858,273717
335,645764,136890,273781
336,645939,136922,273845
337,671520,142424,284849
338,672601,142648,285297
339,673670,142872,285745
340,674592,143064,286129
341,674779,143096,286193
342,674958,143128,286257
343,675138,143160,286321
344,675315,143192,286385
345,675492,143224,286449
346,675667,143256,286513
347,675840,143288,286577
348,676019,143320,286641
349,676194,143352,286705
350,676367,143384,286769
351,676535,143416,286833
352,676710,143448,286897
353,702291,148950,297901
354,703372,149174,298349
355,704441,149398,298797
356,705363,149590,299181
357,705550,149622,299245
358,705729,149654,299309
359,705909,149686,299373
360,706086,149718,299437
361,706263,149750,299501
362,706438,149782,299565
363,706611,149814,299629
364,706790,149846,299693
365,706965,149878,299757
366,707138,149910,299821
367,707306,149942,299885
368,707481,149974,299949
369,733062,155476,310953
370,734143,155700,311401
371,735212,155924,311849
372,736134,156116,312233
373,736321,156148,312297
374,736500,156180,312361
375,736680,156212,312425
376,736857,156244,312489
377,737034,156276,312553
378,737209,156308,312617
379,737382,156340,312681
380,737561,156372,312745
381,737736,156404,312809
382,737909,156436,312873
383,738077,156468,312937
384,738252,156500,313001
385,763833,162002,324005
386,764914,162226,324453
387,765983,162450,324901
388,766905,162642,325285
389,767092,162674,325349
390,767271,162706,325413
391,767451,162738,325477
392,767628,162770,325541
393,767805,162802,325605
394,767980,162834,325669
395,768153,162866,325733
396,768332,162898,325797
397,768507,162930,325861
398,768680,162962,325925
399,768848,162994,325989
400,769023,163026,326053
401,794604,168528,337057
402,795685,168752,337505
403,796754,168976,337953
404,797676,169168,338337
405,797863,169200,338401
406,798042,169232,338465
407,798222,169264,338529
408,798399,169296,338593
409,798576,169328,338657
410,798751,169360,338721
411,798924,169392,338785
412,799103,169424,338849
413,799278,169456,338913
414,799451,169488,338977
415,799619,169520,339041
416,799794,169552,339105
417,825375,175054,350109
418,826456,175278,350557
419,827525,175502,351005
420,828447,175694,351389
421,828634,175726,351453
422,828813,175758,351517
423,828993,175790,351581
424,829170,175822,351645
425,829347,175854,351709
426,829522,175886,351773
427,829695,175918,351837
428,829874,175950,351901
429,830049,175982,351965
430,830222,176014,352029
431,830390,176046,352093
432,830565,176078,352157
433,856146,181580,363161
434,857227,181804,363609
435,858296,182028,364057
436,859218,182220,364441
437,859405,182252,364505
438,859584,182284,364569
439,859764,182316,364633
440,859941,182348,364697
441,860118,182380,364761
442,860293,182412,364825
443,860466,182444,364889
444,860645,182476,364953
445,860820,182508,365017
446,860993,182540,365081
447,861161,182572,365145
448,861336,182604,365209
449,886917,188106,376213
450,887998,188330,376661
451,889067,188554,377109
452,889989,188746,377493
453,890176,188778,377557
