Iter,XOR,NonXOR,Cost
297,258253,51798,103602
298,258293,51806,103618
299,258333,51814,103634
300,258373,51822,103650
301,258408,51829,103664
302,258448,51837,103680
303,258488,51845,103696
304,258528,51853,103712
305,258550,51857,103720
306,258582,51865,103736
307,258614,51873,103752
308,258646,51881,103768
309,258681,51888,103782
310,258721,51896,103798
311,258761,51904,103814
312,258801,51912,103830
313,258836,51919,103844
314,258876,51927,103860
315,258916,51935,103876
316,258956,51943,103892
317,258991,51950,103906
318,259031,51958,103922
319,259071,51966,103938
320,259111,51974,103954
321,305948,61396,122799
322,306084,61420,122847
323,306167,61436,122879
324,306250,61452,122911
325,306716,61550,123107
326,306839,61574,123155
327,306920,61590,123187
328,307004,61606,123219
329,307440,61703,123413
330,307560,61727,123461
331,307643,61743,123493
332,307728,61759,123525
333,308056,61828,123663
334,308160,61848,123703
335,308241,61864,123735
336,308326,61880,123767
337,308500,61918,123843
338,308556,61926,123859
339,308612,61934,123875
340,308668,61942,123891
341,308842,61980,123967
342,308898,61988,123983
343,308954,61996,123999
344,309010,62004,124015
345,309184,62042,124091
346,309240,62050,124107
347,309296,62058,124123
348,309352,62066,124139
349,309526,62104,124215
350,309582,62112,124231
351,309638,62120,124247
352,309694,62128,124263
353,309729,62135,124277
354,309769,62143,124293
355,309809,62151,124309
356,309849,62159,124325
357,309884,62166,124339
358,309924,62174,124355
359,309964,62182,124371
360,310004,62190,124387
361,310039,62197,124401
362,310079,62205,124417
363,310119,62213,124433
364,310159,62221,124449
365,310194,62228,124463
366,310234,62236,124479
367,310274,62244,124495
368,310314,62252,124511
369,310343,62258,124523
370,310375,62266,124539
371,310407,62274,124555
372,310439,62282,124571
373,310474,62289,124585
374,310514,62297,124601
375,310554,62305,124617
376,310594,62313,124633
377,310629,62320,124647
378,310669,62328,124663
379,310709,62336,124679
380,310749,62344,124695
381,310784,62351,124709
382,310824,62359,124725
383,310864,62367,124741
384,310904,62375,124757
385,357741,71797,143602
386,357877,71821,143650
387,357960,71837,143682
388,358043,71853,143714
389,358509,71951,143910
390,358632,71975,143958
391,358713,71991,143990
392,358797,72007,144022
393,359233,72104,144216
394,359353,72128,144264
395,359436,72144,144296
396,359521,72160,144328
397,359849,72229,144466
398,359953,72249,144506
399,360034,72265,144538
400,360119,72281,144570
401,360293,72319,144646
402,360349,72327,144662
403,360405,72335,144678
404,360461,72343,144694
405,360635,72381,144770
406,360691,72389,144786
407,360747,72397,144802
408,360803,72405,144818
409,360977,72443,144894
410,361033,72451,144910
411,361089,72459,144926
412,361145,72467,144942
413,361319,72505,145018
414,361375,72513,145034
415,361431,72521,145050
416,361487,72529,145066
417,361522,72536,145080
418,361562,72544,145096
419,361602,72552,145112
420,361642,72560,145128
421,361677,72567,145142
422,361717,72575,145158
423,361757,72583,145174
424,361797,72591,145190
425,361832,72598,145204
426,361872,72606,145220
427,361912,72614,145236
428,361952,72622,145252
429,361987,72629,145266
430,362027,72637,145282
431,362067,72645,145298
432,362107,72653,145314
433,362133,72658,145324
434,362165,72666,145340
435,362197,72674,145356
436,362229,72682,145372
437,362264,72689,145386
438,362304,72697,145402
439,362344,72705,145418
440,362384,72713,145434
441,362419,72720,145448
442,362459,72728,145464
443,362499,72736,145480
444,362539,72744,145496
445,362574,72751,145510
446,362614,72759,145526
447,362654,72767,145542
448,362694,72775,145558
449,409532,82197,164403
450,409668,82221,164451
451,409751,82237,164483
452,409834,82253,164515
453,410300,82351,164711
454,410423,82375,164759
455,410504,82391,164791
456,410588,82407,164823
457,411024,82504,165017
458,411144,82528,165065
459,411227,82544,165097
460,411312,82560,165129
461,411640,82629,165267
462,411744,82649,165307
463,411825,82665,165339
464,411910,82681,165371
465,412084,82719,165447
466,412140,82727,165463
467,412196,82735,165479
468,412252,82743,165495
469,412426,82781,165571
470,412482,82789,165587
471,412538,82797,165603
472,412594,82805,165619
473,412768,82843,165695
474,412824,82851,165711
475,412880,82859,165727
476,412936,82867,165743
477,413110,82905,165819
478,413166,82913,165835
479,413222,82921,165851
480,413278,82929,165867
481,413313,82936,165881
482,413353,82944,165897
483,413393,82952,165913
484,413433,82960,165929
485,413468,82967,165943
486,413508,82975,165959
487,413548,82983,165975
488,413588,82991,165991
489,413623,82998,166005
490,413663,83006,166021
491,413703,83014,166037
492,413743,83022,166053
493,413778,83029,166067
494,413818,83037,166083
495,413858,83045,166099
496,413898,83053,166115
497,413928,83059,166127
498,413960,83067,166143
499,413992,83075,166159
500,414024,83083,166175
501,414059,83090,166189
502,414099,83098,166205
503,414139,83106,166221
504,414179,83114,166237
505,414214,83121,166251
506,414254,83129,166267
507,414294,83137,166283
508,414334,83145,166299
509,414369,83152,166313
510,414409,83160,166329
511,414449,83168,166345
512,414489,83176,166361
513,461325,92598,185206
514,461461,92622,185254
515,461544,92638,185286
516,461627,92654,185318
517,462093,92752,185514
518,462216,92776,185562
519,462297,92792,185594
520,462381,92808,185626
521,462817,92905,185820
522,462937,92929,185868
523,463020,92945,185900
524,463105,92961,185932
525,463433,93030,186070
526,463537,93050,186110
527,463618,93066,186142
528,463703,93082,186174
529,463877,93120,186250
530,463933,93128,186266
531,463989,93136,186282
532,464045,93144,186298
533,464219,93182,186374
534,464275,93190,186390
535,464331,93198,186406
536,464387,93206,186422
537,464561,93244,186498
538,464617,93252,186514
539,464673,93260,186530
540,464729,93268,186546
541,464903,93306,186622
542,464959,93314,186638
543,465015,93322,186654
544,465071,93330,186670
545,465106,93337,186684
546,465146,93345,186700
547,465186,93353,186716
548,465226,93361,186732
549,465261,93368,186746
550,465301,93376,186762
551,465341,93384,186778
552,465381,93392,186794
553,465416,93399,186808
554,465456,93407,186824
555,465496,93415,186840
556,465536,93423,186856
557,465571,93430,186870
558,465611,93438,186886
559,465651,93446,186902
560,465691,93454,186918
561,465710,93457,186924
562,465742,93465,186940
563,465774,93473,186956
564,465806,93481,186972
565,465841,93488,186986
566,465881,93496,187002
567,465921,93504,187018
568,465961,93512,187034
569,465996,93519,187048
570,466036,93527,187064
571,466076,93535,187080
572,466116,93543,187096
573,466151,93550,187110
574,466191,93558,187126
575,466231,93566,187142
576,466271,93574,187158
577,513108,102996,206003
578,513244,103020,206051
579,513327,103036,206083
580,513410,103052,206115
581,513876,103150,206311
582,513999,103174,206359
583,514080,103190,206391
584,514164,103206,206423
585,514600,103303,206617
586,514720,103327,206665
587,514803,103343,206697
588,514888,103359,206729
589,515216,103428,206867
590,515320,103448,206907
591,515401,103464,206939
592,515486,103480,206971
593,515660,103518,207047
594,515716,103526,207063
595,515772,103534,207079
596,515828,103542,207095
597,516002,103580,207171
598,516058,103588,207187
599,516114,103596,207203
600,516170,103604,207219
601,516344,103642,207295
602,516400,103650,207311
603,516456,103658,207327
604,516512,103666,207343
605,516686,103704,207419
606,516742,103712,207435
607,516798,103720,207451
608,516854,103728,207467
609,516889,103735,207481
610,516929,103743,207497
611,516969,103751,207513
612,517009,103759,207529
613,517044,103766,207543
614,517084,103774,207559
615,517124,103782,207575
616,517164,103790,207591
617,517199,103797,207605
618,517239,103805,207621
619,517279,103813,207637
620,517319,103821,207653
621,517354,103828,207667
622,517394,103836,207683
623,517434,103844,207699
624,517474,103852,207715
625,517503,103858,207727
626,517535,103866,207743
627,517567,103874,207759
628,517599,103882,207775
629,517634,103889,207789
630,517674,103897,207805
631,517714,103905,207821
632,517754,103913,207837
633,517789,103920,207851
634,517829,103928,207867
635,517869,103936,207883
636,517909,103944,207899
637,517944,103951,207913
638,517984,103959,207929
639,518024,103967,207945
640,518064,103975,207961
641,564901,113397,226806
642,565037,113421,226854
643,565120,113437,226886
644,565203,113453,226918
645,565669,113551,227114
646,565792,113575,227162
647,565873,113591,227194
648,565957,113607,227226
649,566393,113704,227420
650,566513,113728,227468
651,566596,113744,227500
652,566681,113760,227532
653,567009,113829,227670
654,567113,113849,227710
655,567194,113865,227742
656,567279,113881,227774
657,567453,113919,227850
658,567509,113927,227866
659,567565,113935,227882
660,567621,113943,227898
661,567795,113981,227974
662,567851,113989,227990
663,567907,113997,228006
664,567963,114005,228022
665,568137,114043,228098
666,568193,114051,228114
667,568249,114059,228130
668,568305,114067,228146
669,568479,114105,228222
670,568535,114113,228238
671,568591,114121,228254
672,568647,114129,228270
673,568682,114136,228284
674,568722,114144,228300
675,568762,114152,228316
676,568802,114160,228332
677,568837,114167,228346
678,568877,114175,228362
679,568917,114183,228378
680,568957,114191,228394
681,568992,114198,228408
682,569032,114206,228424
683,569072,114214,228440
684,569112,114222,228456
685,569147,114229,228470
686,569187,114237,228486
687,569227,114245,228502
688,569267,114253,228518
689,569293,114258,228528
690,569325,114266,228544
691,569357,114274,228560
692,569389,114282,228576
693,569424,114289,228590
694,569464,114297,228606
695,569504,114305,228622
696,569544,114313,228638
697,569579,114320,228652
698,569619,114328,228668
699,569659,114336,228684
700,569699,114344,228700
701,569734,114351,228714
702,569774,114359,228730
703,569814,114367,228746
704,569854,114375,228762
705,616692,123797,247607
706,616828,123821,247655
707,616911,123837,247687
708,616994,123853,247719
709,617460,123951,247915
710,617583,123975,247963
711,617664,123991,247995
712,617748,124007,248027
713,618184,124104,248221
714,618304,124128,248269
715,618387,124144,248301
716,618472,124160,248333
717,618800,124229,248471
718,618904,124249,248511
719,618985,124265,248543
720,619070,124281,248575
721,619244,124319,248651
722,619300,124327,248667
723,619356,124335,248683
724,619412,124343,248699
725,619586,124381,248775
726,619642,124389,248791
727,619698,124397,248807
728,619754,124405,248823
729,619928,124443,248899
730,619984,124451,248915
731,620040,124459,248931
732,620096,124467,248947
733,620270,124505,249023
734,620326,124513,249039
735,620382,124521,249055
736,620438,124529,249071
737,620473,124536,249085
738,620513,124544,249101
739,620553,124552,249117
740,620593,124560,249133
741,620628,124567,249147
742,620668,124575,249163
743,620708,124583,249179
744,620748,124591,249195
745,620783,124598,249209
746,620823,124606,249225
747,620863,124614,249241
748,620903,124622,249257
749,620938,124629,249271
750,620978,124637,249287
751,621018,124645,249303
752,621058,124653,249319
753,621088,124659,249331
754,621120,124667,249347
755,621152,124675,249363
756,621184,124683,249379
757,621219,124690,249393
758,621259,124698,249409
759,621299,124706,249425
760,621339,124714,249441
761,621374,124721,249455
762,621414,124729,249471
763,621454,124737,249487
764,621494,124745,249503
765,621529,124752,249517
766,621569,124760,249533
767,621609,124768,249549
768,621649,124776,249565
769,668486,134198,268410
770,668622,134222,268458
771,668705,134238,268490
772,668788,134254,268522
773,669254,134352,268718
774,669377,134376,268766
775,669458,134392,268798
776,669542,134408,268830
777,669978,134505,269024
778,670098,134529,269072
779,670181,134545,269104
780,670266,134561,269136
781,670594,134630,269274
782,670698,134650,269314
783,670779,134666,269346
784,670864,134682,269378
785,671038,134720,269454
786,671094,134728,269470
787,671150,134736,269486
788,671206,134744,269502
789,671380,134782,269578
790,671436,134790,269594
791,671492,134798,269610
792,671548,134806,269626
793,671722,134844,269702
794,671778,134852,269718
795,671834,134860,269734
796,671890,134868,269750
797,672064,134906,269826
798,672120,134914,269842
799,672176,134922,269858
800,672232,134930,269874
801,672267,134937,269888
802,672307,134945,269904
803,672347,134953,269920
804,672387,134961,269936
805,672422,134968,269950
806,672462,134976,269966
807,672502,134984,269982
808,672542,134992,269998
809,672577,134999,270012
810,672617,135007,270028
811,672657,135015,270044
812,672697,135023,270060
813,672732,135030,270074
814,672772,135038,270090
815,672812,135046,270106
816,672852,135054,270122
817,672875,135058,270130
818,672907,135066,270146
819,672939,135074,270162
820,672971,135082,270178
821,673006,135089,270192
822,673046,135097,270208
823,673086,135105,270224
824,673126,135113,270240
825,673161,135120,270254
826,673201,135128,270270
827,673241,135136,270286
828,673281,135144,270302
829,673316,135151,270316
830,673356,135159,270332
831,673396,135167,270348
832,673436,135175,270364
833,720274,144597,289209
834,720410,144621,289257
835,720493,144637,289289
836,720576,144653,289321
837,721042,144751,289517
838,721165,144775,289565
839,721246,144791,289597
840,721330,144807,289629
841,721766,144904,289823
842,721886,144928,289871
843,721969,144944,289903
844,722054,144960,289935
845,722382,145029,290073
846,722486,145049,290113
847,722567,145065,290145
848,722652,145081,290177
849,722826,145119,290253
850,722882,145127,290269
851,722938,145135,290285
852,722994,145143,290301
853,723168,145181,290377
854,723224,145189,290393
855,723280,145197,290409
856,723336,145205,290425
857,723510,145243,290501
858,723566,145251,290517
859,723622,145259,290533
860,723678,145267,290549
861,723852,145305,290625
862,723908,145313,290641
863,723964,145321,290657
864,724020,145329,290673
865,724055,145336,290687
866,724095,145344,290703
867,724135,145352,290719
868,724175,145360,290735
869,724210,145367,290749
870,724250,145375,290765
871,724290,145383,290781
872,724330,145391,290797
873,724365,145398,290811
874,724405,145406,290827
875,724445,145414,290843
876,724485,145422,290859
877,724520,145429,290873
878,724560,145437,290889
879,724600,145445,290905
880,724640,145453,290921
881,724670,145459,290933
882,724702,145467,290949
883,724734,145475,290965
884,724766,145483,290981
885,724801,145490,290995
886,724841,145498,291011
887,724881,145506,291027
888,724921,145514,291043
889,724956,145521,291057
890,724996,145529,291073
891,725036,145537,291089
892,725076,145545,291105
893,725111,145552,291119
894,725151,145560,291135
895,725191,145568,291151
896,725231,145576,291167
897,772069,154998,310012
898,772205,155022,310060
899,772288,155038,310092
900,772371,155054,310124
901,772837,155152,310320
902,772960,155176,310368
903,773041,155192,310400
904,773125,155208,310432
905,773561,155305,310626
906,773681,155329,310674
907,773764,155345,310706
908,773849,155361,310738
909,774177,155430,310876
910,774281,155450,310916
